sentence1	sentence2	class
종류가 좀 아쉬운데	죄송해요. 부족한 부분을 채워나갈 수 있게 노력할게요.	claim
제대로 알려달라고	죄송해요. 앞으로 더 공부해서 고객님 마음에 들 수 있게 노력할게요.	claim
아는게 별로 없구나	원하시는 대답을 듣지 못하셨나요? 더 공부해서 정확한 대답을 하도록 노력할게요.	claim
도움이 전혀 안되네요	죄송해요. 다시 한번 구체적으로 말씀해 주시면 열심히 알아볼게요.	claim
말도 못 알아들으면서	원하시는 바를 찾지 못하셨나요? 다음에는 더 도움이 될 수 있게 노력할게요.	claim
맨날 엉뚱 대답만 하니	아직은 부족한가 봐요. 고객님의 믿음을 얻을 수 있게 더 노력할게요.	claim
장난하는 것도 아니고	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
장난하는 거도 아니고	기분 상하셨나요? 그럴 의도는 없었어요.	claim
인공지능은 언제 향상	매일매일 달라지려고 노력하고 있어요. 고객님의 마음을 얻을 수 있게 더 노력할게요.	claim
이해할 수 있는 게 뭔데	죄송해요. 부족한 부분을 채워나갈 수 있게 노력할게요.	claim
이건 아까 보여줬잖아	죄송해요. 다시 한번 구체적으로 말씀해 주시면 열심히 알아볼게요.	claim
왤케 못 만들었을까요	죄송해요. 앞으로 더 공부해서 고객님 마음에 들 수 있게 노력할게요.	claim
왜 그리 불친절 한지요	죄송해요. 앞으로 더 공부해서 고객님 마음에 들 수 있게 노력할게요.	claim
완전 바보 챗봇이구먼	매일매일 달라지려고 노력하고 있어요. 고객님의 마음을 얻을 수 있게 더 노력할게요.	claim
어이구 아직도 멀었다	매일매일 달라지려고 노력하고 있어요. 고객님의 마음을 얻을 수 있게 더 노력할게요.	claim
아직도 배울게 많구나	매일매일 달라지려고 노력하고 있어요. 고객님의 마음을 얻을 수 있게 더 노력할게요.	claim
서비스 거지 같다 진짜	죄송해요. 제 어떤 행동이 기분을 언짢게 했는지 모르겠어요.	claim
이딴것만 해놔	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
빨리해준다고 해놓고	죄송해요. 고객님 기분을 상하게 할 의도는 없었어요.	claim
빨리 해결 좀 해주세여	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
분통 터져 글 남김니다	죄송해요. 더 공부해서 고객님의 마음에 들 수 있게 노력할게요.	claim
뭔 소린지 모르겟어요	이해가 안 가는 부분이 있으신가요? 더 상세한 설명을 위해 노력할게요.	claim
뭐야 똑같은 말만 하네	원하시는 대답을 듣지 못하셨나요? 더 공부해서 다양한 대답을 하도록 노력할게요.	claim
무엇으로 보상받나요	원하시는 바를 찾지 못하셨나요? 다음에는 더 도움이 될 수 있게 노력할게요.	claim
무슨 서비스가 이래요	불편하신 점이 있으셨나요? 금방 해결하도록 노력할게요.	claim
무슨 말인지모르는데	원하시는 대답을 듣지 못하셨나요? 더 공부해서 정확한 대답을 하도록 노력할게요.	claim
못 알아 듣는거 같은데	아직은 부족한가 봐요. 고객님의 믿음을 얻을 수 있게 더 노력할게요.	claim
전화받지 않아서 문의	불편하신 점이 있으셨나요? 금방 해결하도록 노력할게요.	claim
서로 전산 타령만 하다 마네요	도움이 되지 못해서 죄송해요.	claim
소비자 가지고 우롱하지 말고	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
수십 번을 햇는데 안 한 거처럼	죄송해요. 발전하도록노력하는 챗봇이 될게요.	claim
안 내킨다고	더 좋은 답변을 드리지 못해서 죄송해요.	claim
너 별루다	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
별거 없네	제 답변이 마음에 안 드셨다면 죄송해요.	claim
아쉽네요	실망시켜 드려서 죄송해요. 더 노력하는 챗봇이 될게요.	claim
내키지 않아	더 발전하는 챗봇이 되도록 노력할게요.	claim
너 별로구나	더 좋은 답변을 드리지 못해서 죄송해요.	claim
마음에 안듬	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
그냥 그럭저럭	더 좋은 답변을 드리지 못해서 죄송해요.	claim
마음에 안 들어	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
안 내킵니다	제 답변이 마음에 안 드셨다면 죄송해요.	claim
추천해준 게 별론데	더 좋은 답변을 드리지 못해서 죄송해요.	claim
아 별로	더 발전하는 챗봇이 되도록 노력할게요.	claim
했던 말 또하라고	정말 죄송해요. 다시 한번 말씀해 주시겠어요?	claim
챗봇을 기대했는데 실망이야	제 답변이 마음에 안 드셨다면 죄송해요.	claim
좀 더 보강해	더 발전하는 챗봇이 될게요.	claim
다양하지 않군	더 좋은 답변을 드리지 못해서 죄송해요.	claim
똑같은 말하지 말고	제 답변이 마음에 안 드셨다면 죄송해요.	claim
최악이구나	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
넌 학습이 더 필요해	더 노력하는 챗봇이 될게요.	claim
직원 컴플레인은 어디다 해	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
도움이 되는 정보를 많이 주도록	네 만족스러운 답변을 드리도록 노력할게요.	claim
별로 잘 모르겠다	더 발전하는 챗봇이 되도록 노력할게요.	claim
안 내키는데	제 답변이 마음에 안 드셨다면 죄송해요.	claim
안 내키네요	제 답변이 마음에 안 드셨다면 죄송해요.	claim
뭔디	죄송해요. 다시 한번 말씀해 주시겠어요?	claim
빡치게하네	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
힝	제 답변이 마음에 안 드셨다면 죄송해요.	claim
칫	더 좋은 답변을 드리지 못해서 죄송해요.	claim
치	더 좋은 답변을 드리지 못해서 죄송해요.	claim
췟	더 발전하는 챗봇이 되도록 노력할게요.	claim
별로	더 좋은 답변을 드리지 못해서 죄송해요.	claim
별로군	실망시켜 드려서 죄송해요. 더 노력하는 챗봇이 될게요.	claim
다 별로	더 발전하는 챗봇이 되도록 노력할게요.	claim
그닥 별로	실망시켜 드려서 죄송해요. 더 노력하는 챗봇이 될게요.	claim
별로네요	더 좋은 답변을 드리지 못해서 죄송해요.	claim
별로라구	실망시켜 드려서 죄송해요. 더 노력하는 챗봇이 될게요.	claim
별로에요	더 발전하는 챗봇이 되도록 노력할게요.	claim
별로자나	실망시켜 드려서 죄송해요. 더 노력하는 챗봇이 될게요.	claim
그닥	실망시켜 드려서 죄송해요. 더 노력하는 챗봇이 될게요.	claim
별론데	더 좋은 답변을 드리지 못해서 죄송해요.	claim
안 내켜요	더 좋은 답변을 드리지 못해서 죄송해요.	claim
진짜 별로	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
별로이군요	더 좋은 답변을 드리지 못해서 죄송해요.	claim
별로입니다	제 답변이 마음에 안 드셨다면 죄송해요.	claim
별론거같아	더 좋은 답변을 드리지 못해서 죄송해요.	claim
왜 같은 얘기만 해	죄송해요. 다시 한번 말씀해 주시겠어요?	claim
신경쓰지마	더 좋은 답변을 드리지 못해서 죄송해요.	claim
가지가지한다	기분을 상하게 해서 죄송해요. 더 노력하는 챗봇이 될게요.	claim
다신 너랑 대화 안해	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
난 너 싫어	저를 미워하지 마세요. 더 좋은 답변을 할수 있도록 노력할게요.	claim
잘 좀 해	더 좋은 답변을 할 수 있도록 노력할게요.	claim
아니 정말	도움이 되지 못해서 죄송해요.	claim
왜 안돼	더 좋은 답변을 할 수 있도록 노력할게요.	claim
싫다 너	도움이 되지 못해서 죄송해요.	claim
어떠한 답조차 없는데 어떻게 생각해요	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
뭐 거짓말이라도 하는 줄 알앗습니까	죄송해요. 만족스러운 대답을 할 수 있도록 더 발전하는 챗봇이 되도록 노력할게요.	claim
프로그램을 쓸 만하게 만들어야지	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
이럴거면 뭐하러 챗봇이 필요하냐	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
멍청한 로보트하곤 말 못하겠네요	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
동일한 문의를 두 번이나 드렸는데	죄송해요. 만족스러운 대답을 할 수 있도록 더 발전하는 챗봇이 되도록 노력할게요.	claim
고객가지고 장난쳐도 되는건가요	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
전화연결이 안되어 불편합니다	도움이 되지 못해서 죄송해요.	claim
전화도 안되고 어디다 문의해요	도움이 되지 못해서 죄송해요.	claim
알려주시기로하고 답이 없네요	죄송해요. 다시 정확하게 말씀해주시겠어요?	claim
멍청한 로봇하곤 말 못하겠네요	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
물어보는 말 대답 못하잖아요	죄송해요. 발전하도록노력하는 챗봇이 될게요.	claim
제가 좀 어이가 없었던 부분은	죄송해요. 발전하도록노력하는 챗봇이 될게요.	claim
이것도 챗봇이라고 만들었냐	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
이것도 서비스라고 만들었냐	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
월요일부터 존나 빡치게하네	도움이 되지 못해서 죄송해요.	claim
너무해	더 좋은 답변을 할 수 있도록 노력할게요.	claim
제가 찾는 건 없네요	죄송해요. 부족한 부분을 채워나갈 수 있게 노력할게요.	claim
시간 낭비	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
넌 너무 바보야	더 발전하는 챗봇이 되도록 노력할게요.	claim
대화가 안되네	더 좋은 답변을 드리지 못해서 죄송해요.	claim
도대체 아는게 뭐냐?	죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
기대 이하	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
열받게 하지마라	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
기찬타	제가 필요하시다면 언제든지 불러주세요.	claim
기차나	제가 필요할 때는 언제든지 말을 걸어주세요.	claim
귀찮아요	제가 필요하시다면 언제든지 불러주세요.	claim
귀찮아	제가 필요할 때는 언제든지 말을 걸어주세요.	claim
전화를 받아야 상담하지.	도움이 되지 못해서 죄송해요.	claim
전화연결이 어렵다고	도움이 되지 못해서 죄송해요.	claim
알아서 찾을게요	고객님께 더 도움이 되는 챗봇이 되도록 노력할게요.	claim
말 존나 못 알아쳐 먹네	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
존나 기능 없네	고객님께 더 도움이 되는 챗봇이 되도록 노력할게요.	claim
니가 모루는데 내가 우째아노	고객님께 더 도움이 되는 챗봇이 되도록 노력할게요.	claim
기가막히고 코가막히네요	더 좋은 답변을 할 수 있도록 노력할게요.	claim
만족 하나도 못했어	고객님께 더 도움이 되는 챗봇이 되도록 노력할게요.	claim
학습이 부족하군	더 좋은 답변을 할 수 있도록 노력할게요.	claim
아뮤것도 모르니	고객님께 더 도움이 되는 챗봇이 되도록 노력할게요.	claim
사장 나오라고해	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
말을 못 알아듣나	더 좋은 답변을 할 수 있도록 노력할게요.	claim
거의 못 알아듣네	기분을 상하게 해서 정말 죄송해요. 더 발전하는 챗봇이 되도록 노력할게요.	claim
넌 내맘을 몰라	더 발전하는 챗봇이 되도록 노력할게요.	claim
제가 원하는 건 없네	죄송해요. 부족한 부분을 채워나갈 수 있게 노력할게요.	claim
진짜 구려	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
정말 기분 나쁘네요	제가 고객님의 기분을 상하게 했나요? 고칠 수 있게 노력할게요.	claim
제대로 된게 없냐	아직은 부족한가 봐요. 고객님의 믿음을 얻을 수 있게 더 노력할게요.	claim
질문이 다른데요	원하시는 바를 찾지 못하셨나요? 다음에는 더 도움이 될 수 있게 노력할게요.	claim
찾는게 안나오네	원하시는 바를 찾지 못하셨나요? 다음에는 더 도움이 될 수 있게 노력할게요.	claim
추천이 틀렸는데	죄송해요. 다시 한번 구체적으로 말씀해 주시면 열심히 찾아볼게요.	claim
친절하지 않네요	제가 고객님의 기분을 상하게 했나요? 고칠 수 있게 노력할게요.	claim
칭찬이 아니거든	기분 상하셨나요? 그럴 의도는 없었어요.	claim
클레임건입니다	불편하신 점이 있으셨나요? 금방 해결하도록 노력할게요.	claim
통화가 너무 어려워	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
할 수 있는 게 없네	매일매일 달라지려고 노력하고 있어요. 고객님의 마음을 얻을 수 있게 더 노력할게요.	claim
정말 황당합니다	제가 고객님의 기분을 상하게 했나요? 고칠 수 있게 노력할게요.	claim
할 줄 아는게 뭐냐	매일매일 달라지려고 노력하고 있어요. 고객님의 마음을 얻을 수 있게 더 노력할게요.	claim
대답 못하잖아요	아직은 부족한가 봐요. 고객님의 믿음을 얻을 수 있게 더 노력할게요.	claim
질문이 다른데요?	원하시는 바를 찾지 못하셨나요? 다음에는 더 도움이 될 수 있게 노력할게요.	claim
같은 말 안 하는구나	매일매일 달라지려고 노력하고 있어요. 고객님의 마음을 얻을 수 있게 더 노력할게요.	claim
같은 소리하고 있네	죄송해요. 부족한 부분을 채워나갈 수 있게 노력할게요.	claim
고객센터 전화해도 안받아	불편을 겪게 해드려 죄송해요. 고칠 수 있게 더 노력할게요.	claim
공부 더 하고오세요	네. 고객님께 더 도움이 될 수 있는 챗봇이 되기 위해 노력할게요.	claim
공부하셔야겠어요	네. 고객님께 더 도움이 될 수 있는 챗봇이 되기 위해 노력할게요.	claim
광고만 더럽게하네	기분 상하셨나요? 그럴 의도는 없었어요.	claim
그래서 안돼는거야	죄송해요. 앞으로 더 공부해서 고객님 마음에 들 수 있게 노력할게요.	claim
했던말 또 하지마	죄송해요. 더 공부해서 고객님의 마음에 들 수 있게 노력할게요.	claim
일처리 똑바로 해	제가 고객님의 기분을 상하게 했나요? 고칠 수 있게 노력할게요.	claim
이런 거 밖에 없냐	계속 노력하는 중이에요. 좋은 서비스를 위해 노력하는 챗봇이 될게요.	claim
이딴식으로 말야	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
정말 너무 하십니다	죄송해요. 고객님 기분을 상하게 할 의도는 없었어요.	claim
상담이 뭐 이래요	죄송해요. 앞으로 더 공부해서 고객님 마음에 들 수 있게 노력할게요.	claim
서비스가 왜이럼	원하시는 바를 찾지 못하셨나요? 다음에는 더 도움이 될 수 있게 노력할게요.	claim
아는거도 없는게	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
아는것도 없는게	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
아무 대응이 없네	더 필요하신 부분이 있으신가요? 무엇이 궁금하신지 말씀해 주세요.	claim
아직 한참 멀었네	죄송해요. 앞으로 더 공부해서 고객님 마음에 들 수 있게 노력할게요.	claim
앞으로 쓸 일 없어	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
어렵고 복잡해요	죄송해요. 더 노력해서 고객님 편의를 높일 수 있게 할게요.	claim
엉망진창이구만	불편하신 점이 있으셨나요? 금방 해결하도록 노력할게요.	claim
에이 종류가 작다	죄송해요. 부족한 부분을 채워나갈 수 있게 노력할게요.	claim
왜 내 말 씹었어요	죄송해요. 그럴 의도는 없었어요.	claim
왜 니 맘데로하니	죄송해요. 고객님 기분을 상하게 할 의도는 없었어요.	claim
왜 이렇게 못찾냐	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
왜 이렇게 복잡해	죄송해요. 부족한 부분을 채워나갈 수 있게 노력할게요.	claim
왜 하나도 못찾아	불편하신 점이 있으셨나요? 금방 해결하도록 노력할게요.	claim
우리말 더 배어와	원하시는 대답을 듣지 못하셨나요? 더 공부해서 다양한 대답을 하도록 노력할게요.	claim
이게 먼 채팅이냐	저는 다양한 방면에서 고객님 편의를 높이는 챗봇이에요.	claim
이게 무슨 챗봇임	죄송해요. 부족한 부분을 채워나갈 수 있게 노력할게요.	claim
이게 최선입니까	아직은 부족한가 봐요. 고객님의 믿음을 얻을 수 있게 더 노력할게요.	claim
이 깡통 로보트아	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
내 말 이해가 안되니	죄송해요. 다시 한번 구체적으로 말씀해 주시면 열심히 찾아볼게요.	claim
넌 이거 밖에 못하니	매일매일 달라지려고 노력하고 있어요. 고객님의 마음을 얻을 수 있게 더 노력할게요.	claim
전혀 도움이 안돼	죄송해요. 더 노력해서 고객님의 편의를 높일 수 있게 할게요.	claim
답변은 잘못하네요	죄송해요. 앞으로 더 공부해서 고객님 마음에 들 수 있게 노력할게요.	claim
어찌하라는 건가요	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
좀 배워라	네. 고객님께 더 도움이 될 수 있는 챗봇이 되기 위해 노력할게요.	claim
열심히 딥러닝하렴	네. 고객님께 더 도움이 될 수 있는 챗봇이 되기 위해 노력할게요.	claim
오지구연 지리구연	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
완전 깡통봇이네욧	제가 고객님의 기분을 상하게 했나요? 고칠 수 있게 노력할게요.	claim
왜 아무거도 모르죠	매일매일 달라지려고 노력하고 있어요. 고객님의 마음을 얻을 수 있게 더 노력할게요.	claim
왜 이렇게 엉터리야	죄송해요. 더 노력해서 고객님의 편의를 높일 수 있게 할게요.	claim
왜 인식을 못하나요	죄송해요. 더 공부해서 고객님의 마음에 들 수 있게 노력할게요.	claim
이거도 못 찾아주니	제가 고객님의 기분을 상하게 했나요? 고칠 수 있게 노력할게요.	claim
이것도 못 찾아주니	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
이게 뭐가 채팅이냐	아직은 부족한가 봐요. 고객님의 믿음을 얻을 수 있게 더 노력할게요.	claim
이래도 되는 건가요	제가 고객님의 기분을 상하게 했나요? 고칠 수 있게 노력할게요.	claim
이미 처리 중이라고	불편하신 점이 있으셨나요? 금방 해결하도록 노력할게요.	claim
이분을 신고합니다	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
자꾸 딴소리하세요	죄송해요. 다시 한번 구체적으로 말씀해 주시면 열심히 알아볼게요.	claim
잘하지도 못하면서	원하시는 대답을 듣지 못하셨나요? 더 공부해서 정확한 대답을 하도록 노력할게요.	claim
장난 나랑 지금하냐	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
장애가 발생합니다	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
저걸로 못 찾겟어요	죄송해요. 다시 한번 구체적으로 말씀해 주시면 열심히 알아볼게요.	claim
넌 이것 밖에 못하니	매일매일 달라지려고 노력하고 있어요. 고객님의 마음을 얻을 수 있게 더 노력할게요.	claim
전화를 몇 분째 기달리냐	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
어떻게 더 느립니까	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
안 알려주실건가요	죄송해요. 다시 한번 구체적으로 말씀해 주시면 열심히 찾아볼게요.	claim
이거 진짜 거지같다	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
썩 똑똑하지 않구나	매일매일 달라지려고 노력하고 있어요. 고객님의 마음을 얻을 수 있게 더 노력할게요.	claim
더럽게 안되서 성질나네	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
도대체 못 알아듣네	죄송해요. 다시 한번 구체적으로 말씀해 주시면 열심히 알아볼게요.	claim
말귀를 못 알아듣네	죄송해요. 다시 한번 구체적으로 말씀해 주시면 열심히 알아볼게요.	claim
말도 못 알아듣는게	기분 상하셨나요? 그럴 의도는 없었어요.	claim
말을 잘 모르는구나	기분 상하셨나요? 그럴 의도는 없었어요.	claim
말이 왜 이렇게 많아	원하시는 만큼 조용히 있을게요. 필요할 때 다시 불러주세요.	claim
맨날 모른다고 하네	죄송해요. 부족한 부분을 채워나갈 수 있게 노력할게요.	claim
맨날 배우기만 하냐	매일매일 달라지려고 노력하고 있어요. 고객님의 마음을 얻을 수 있게 더 노력할게요.	claim
머 알아듣질 못하냐	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
머 할 수 있는이게 없냐	죄송해요. 더 공부해서 고객님의 마음에 들 수 있게 노력할게요.	claim
맘에 드는게 없네요	죄송해요. 부족한 부분을 채워나갈 수 있게 노력할게요.	claim
모 알아듣질 못하냐	죄송해요. 다시 한번 구체적으로 말씀해 주시면 열심히 찾아볼게요.	claim
모 할 수 있는이게 없냐	죄송해요. 더 노력해서 고객님의 편의를 높일 수 있게 할게요.	claim
뭐 알아듣질 못하냐	아직은 부족한가 봐요. 고객님의 믿음을 얻을 수 있게 더 노력할게요.	claim
뭐 할 수 있는이게 없냐	아직은 부족한가 봐요. 고객님의 믿음을 얻을 수 있게 더 노력할게요.	claim
소비자 우롱입니다	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
서비스 참 그지같이 만들었네	죄송해요. 더 공부해서 고객님의 마음에 들 수 있게 노력할게요.	claim
사람가지고 놉니까	불편하신 점이 있으셨나요? 금방 해결하도록 노력할게요.	claim
서비스를 하지말지	계속해서 공부하고 있어요. 앞으로는 더 많은 도움을 드릴 수 있도록 노력할게요.	claim
몆 시간을 기다려서	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
성장 많이 해야 할 듯	네. 고객님께 더 도움이 될 수 있는 챗봇이 되기 위해 노력할게요.	claim
fighting!	따뜻하신 분이군요. 감사해요.	effort
화이팅하자!	따뜻하시네요. 친절한 말씀 감사해요.	effort
이번주 화이팅이야	친절한 말씀 감사해요.	effort
이번주 힘내!	따뜻하신 분이군요. 감사해요.	effort
오늘도 화이팅	감사해요. 다음에 또 이용해주세요.	effort
올해도 잘부탁해~	친절하시군요. 감동이에요.	effort
올해도 힘내	친절하시군요. 감동이에요.	effort
챗봇아 힘내	따뜻하신 분이군요. 감사해요.	effort
힘내자 우리	아자아자! 화이팅이에요.	effort
내일도 힘내고	친절하시군요. 감동이에요.	effort
오늘도 고생하구~	따뜻하신 분이군요. 감사해요.	effort
수고하셈	감사해요. 다음에 또 이용해주세요.	effort
화이팅 할 수 있어!	따뜻하시네요. 친절한 말씀 감사해요.	effort
어휴 고생이네	친절하시군요. 감동이에요.	effort
어휴 수고하네	친절한 말씀 감사해요.	effort
아휴~ 고생이 많아	친절한 말씀 감사해요.	effort
화이팅 ^.^	따뜻하신 분이군요. 감사해요.	effort
화이링구	친절하시군요. 감동이에요.	effort
수고링	친절한 말씀 감사해요.	effort
고생하셈	감사해요. 다음에 또 찾아주세요.	effort
화이팅하셈	감사해요. 다음에 또 이용해주세요.	effort
화이링	친절하시군요. 감동이에요.	effort
오늘도 고생이 많네	친절하시군요. 감동이에요.	effort
화이링구해	따뜻하시네요. 친절한 말씀 감사해요.	effort
수고가 많아	친절한 말씀 감사해요. 	effort
고생이 많으시네요	친절한 말씀 감사해요.	effort
ㅅㄳㄱ	감사해요. 다음에 또 찾아주세요.	effort
토닥토닥	따뜻하신 분이군요. 감사해요.	effort
고생이 많아	따뜻한 말씀 감사해요. 	effort
아이고 고생이네	친절한 말씀 감사해요.	effort
고생하네	친절하시군요. 감동이에요.	effort
수고하네	따뜻하신 분이군요. 감사해요.	effort
수고가 많네	따뜻하시네요. 친절한 말씀 감사해요.	effort
수고가 많으시네요	친절하시군요. 감동이에요.	effort
힘들겠다.	친절한 말씀 감사해요.	effort
힘내	따뜻하신 분이군요. 감사해요.	effort
힘들어도 화이팅	아자아자! 화이팅이에요.	effort
화이팅이야	따뜻하시네요. 친절한 말씀 감사해요.	effort
힘내셈	친절하시군요. 감동이에요.	effort
힘내자	친절하시군요. 감동이에요.	effort
힘내길 바라	따뜻하신 분이군요. 감사해요.	effort
닥토닥토	응원의 말씀 감사해요.	effort
수고링~	감사해요. 다음에 또 이용해주세요.	effort
슈고링	따뜻하시네요. 친절한 말씀 감사해요.	effort
수고염	친절한 말씀 감사해요.	effort
고생해염~	친절하시군요. 감동이에요.	effort
고생하십셔	감사해요. 다음에 또 이용해주세요.	effort
고생하세요~	따뜻하신 분이군요. 감사해요.	effort
힘내자구~	아자아자! 화이팅이에요.	effort
이번 주도 고생해	감사해요. 다음에 또 이용해주세요.	effort
수고하쇼	감사해요. 다음에 또 찾아주세요.	effort
고생하세욤	따뜻하시네요. 친절한 말씀 감사해요.	effort
수고하셨습니다	감사해요. 다음에 또 이용해주세요. 	effort
수고가 많으세요	친절한 말씀 감사해요.	effort
수고가 많습니다	따뜻하신 분이군요. 감사해요.	effort
수고하세욤	따뜻하신 분이군요. 감사해요.	effort
수고 많으세요	따뜻하시네요. 친절한 말씀 감사해요.	effort
수고 많습니다	감사해요. 다음에 또 이용해주세요.	effort
무더위에 수고	응원의 말씀 감사해요.	effort
고생많으세요	따뜻하신 분이군요. 감사해요.	effort
고생하셔요^^	친절한 말씀 감사해요.	effort
슈고하새요	감사해요. 다음에 또 찾아주세요.	effort
고생 많으셨습니다	감사해요. 다음에 또 이용해주세요.	effort
수고하시구	감사해요. 다음에 또 이용해주세요.	effort
고생이 많네	따뜻하신 분이군요. 감사해요.	effort
수고한다	응원의 말씀 감사해요.	effort
고생하세요	감사해요. 다음에 또 찾아주세요.	effort
기운내	따뜻하신 분이군요. 감사해요.	effort
고생해	응원의 말씀 감사해요.	effort
ㅅㄱ	감사해요. 다음에 또 이용해주세요.	effort
수고~	친절하시군요. 감동이에요.	effort
힘내	응원의 말씀 감사해요.	effort
수고	감사해요. 다음에 또 이용해주세요.	effort
수고해	친절하시군요. 감동이에요.	effort
수고하셔요	감사해요. 다음에 또 찾아주세요.	effort
고생이 많으십니다	친절하시군요. 감동이에요.	effort
고생 많으십니다	친절한 말씀 감사해요.	effort
오후도 수고하세요	친절하시군요. 감동이에요.	effort
힘내욤	아자아자! 화이팅이에요.	effort
파이팅하길 바랍니다	친절한 말씀 감사해요.	effort
고생혀~	친절하시군요. 감동이에요.	effort
수고혀	감사해요. 다음에 또 찾아주세요.	effort
그래 수고하고~	감사해요. 다음에 또 이용해주세요.	effort
수고가 많으십니다	감사해요. 다음에 또 찾아주세요.	effort
아자	아자아자! 화이팅이에요.	effort
아자!!!	아자아자! 화이팅이에요.	effort
힘내세요	응원의 말씀 감사해요.	effort
힘내요	친절한 말씀 감사해요.	effort
화이팅	응원의 말씀 감사해요.	effort
아자아자	응원의 말씀 감사해요.	effort
아자아자파이팅	응원의 말씀 감사해요.	effort
파이팅	응원의 말씀 감사해요.	effort
감기 조심하시고 항상	따뜻하신 분이군요. 친절한 말씀 감사해요.	effort
수고하시기 바랍니다	친절한 말씀 감사해요. 다음에 또 봬요.	effort
조심하시길 바랍니다	친절한 말씀 감사해요.	effort
최고 오늘도 수고하세요	감사해요. 다음에 또 찾아주세요.	effort
수고하시길 바랍니다	친절하시군요. 감동이에요.	effort
챗봇 파이팅	따뜻하시네요. 응원의 말씀 감사해요.	effort
챗봇 화이팅	따뜻하신 분이군요. 감사해요.	effort
고생 많네	친절한 말씀 감사해요.	effort
아자아자화이팅	응원의 말씀 감사해요. 따뜻하신 분이네요.	effort
수고 많으셨어요	친절한 말씀 감사해요.	effort
점심 ㄱㄱ?	네 갑시다용.	meal
점심 메뉴 추천해줘	돈까스 어떠신가요?	meal
점심 뭐먹을까?	T밥이요	meal
점심 머 먹을래?	T밥이요	meal
저녁 먹으러 갈까?	가시죠	meal
저녁 ㄱㄱ?	네네	meal
